Анна Каренина	Ana Karenina	Anna Karenina	Anna Karenina	Anna Karenina
Я был влюблен, но это не то.	No marchan bien las cosas... Pero no quiero hablar de mí, y además no todo se puede explicar –dijo Esteban Arkadievich–.	"And the reason is this: I think love, both kinds of love, which you remember Plato defines in his ""Symposium"" – both kinds of love serve as a touchstone for men."	Si ricordò del fratello Nikolaj, provò vergogna e pena e si accigliò, ma Oblonskij prese a parlare di un argomento che lo distrasse subito.	Ljewin aß gleichfalls von den Austern, obwohl ihm Weißbrot mit Käse mehr zugesagt hätte;
Это не мое чувство, а какая-то сила внешняя завладела мной.	Cambia los platos –dijo al camarero.	Some men understand only the one, some only the other.	— E allora, ci vai stasera dai nostri, dagli Šcerbackij?	aber es machte ihm Vergnügen, seinem Tischgenossen zuzusehen.
Ведь я уехал, потому что решил, что этого не может быть, понимаешь как счастье, которого не бывает на земле; но я бился с собой и вижу, что без этого нет жизни.	Y prosiguió–: Ea, ¿a qué has venido a Moscú?	Those who understand only the non-platonic love need not speak of tragedy.	— disse, allontanando i gusci vuoti e scabri, avvicinando a sé il formaggio e ammiccando significativamente con gli occhi.	Sogar der Tatar, der den Pfropfen aus der Flasche gezogen und den schäumenden Wein in die schlankfüßigen, weitschaligen Gläser gegossen hatte, blickte mit merkbarem Lächeln auf Stepan Arkadjewitsch, während er seine weiße Krawatte wieder zurechtschob.
И надо решить...	–¿No lo adivinas? –contestó Levin, mirando fijamente a su amigo, sin apartar de él un instante sus ojos profundos.	For such love there can be no tragedy.	— Sì, ci vado senz’altro — rispose Levin.	»Du bist wohl kein besonderer Freund von Austern?«
-- Для чего же ты уезжал?	–Lo adivino, pero no soy el llamado a iniciar la conversación sobre ello...	"""Thank you kindly for the pleasure, good-bye,"" and that's the whole tragedy."	— Benché sia convinto che la principessa mi abbia invitato controvoglia.	sagte Stepan Arkadjewitsch und trank sein Glas aus. »
-- Ах, постой!	Juzga por mis palabras si lo adivino o no –dijo Esteban Arkadievich con leve sonrisa.	And for the platonic love there can be no tragedy either, because there everything is clear and pure, because...'	— Ma che dici!	Oder hast du Sorgen, wie?«
Ах, сколько мыслей!	–	Here Levin recollecting his own sins and the inner struggle he had lived through added unexpectedly,	Sciocchezze!	Er hätte Ljewin gern fröhlich gesehen.
Сколько надо спросить!	Y entonces, ¿qué me dices? –preguntó Levin con voz trémula, sintiendo que todos los músculos de su rostro se estremecían–.	'However, maybe you are right.	È il suo modo di fare... Su, via, amico, dacci la minestra!	Aber dieser war nicht eigentlich trübe gestimmt, sondern fühlte sich vielmehr in Verlegenheit.
Послушай.	¿Qué te parece el asunto?	It may very well be.	... È il suo modo di fare, grande dame — disse Stepan Arkad’ic.	Mit dem, was er auf dem Herzen hatte, war ihm sonderbar und unbehaglich zumute in einem solchen Restaurant, zwischen Kabinetten, wo mit Damen gespeist wurde, mitten in diesem Gelaufe und Getreibe;
Ты ведь не можешь представить себе, что ты сделал для меня тем, что сказал.	Oblonsky vació lentamente su copa de Chablis sin quitar los ojos de Levin.	But I don't know, I really don't know.'	— Anch’io verrò ma prima devo andare alla prova di canto della contessa Bonina.	diese ganze Einrichtung mit Bronzefiguren, Spiegeln, Gaskronen und tatarischen Kellnern, all dies war ihm geradezu widerwärtig.
Я так счастлив, что даже гадок стал; я все забыл...	–Por mi parte –dijo– no desearía otra cosa.	'Well, you see you are very consistent,' said Oblonsky.	Eh già, come si fa a dire che non sei un selvaggio?	Er fürchtete, das zu beflecken, was seine ganze Seele erfüllte.
Я нынче узнал, что брат Николай... знаешь, он тут...	Creo que es lo mejor que podría suceder.	'It is both a virtue and a fault in you.	Come spiegare che sul più bello sei scomparso da Mosca?	»Ich?
я и про него забыл.	–¿No te equivocas?	You have a consistent character yourself and you wish all the facts of life to be consistent, but they never are.	Gli Šcerbackij mi chiedevano di te continuamente, come se io dovessi sapere.	Ja, Sorgen habe ich;
Мне кажется, что и он счастлив.	¿Sabes a lo que te refieres?	For instance you despise public service because you want work always to correspond to its aims, and that never happens.	E io so una sola cosa:	aber außerdem macht mich hier die ganze Umgebung verlegen«, antwortete er.
Это вроде сумасшествия.	–	You also want the activity of each separate man to have an aim, and love and family life always to coincide – and that doesn't happen either.	che fai sempre quello che nessuno fa.	»Du kannst dir gar nicht vorstellen, wie fremdartig jemandem, der immer auf dem Lande lebt, das alles vorkommt, zum Beispiel auch die Fingernägel des Herrn, den ich bei dir traf.«
Но одно ужасно...	repuso su amigo, clavando los ojos en él–.	All the variety, charm and beauty of life are made up of light and shade.'	— Già — disse Levin lentamente e con emozione.	»Ja, ja, ich habe es wohl gesehen, daß die Nägel des armen Grinjewitsch dich sehr interessieren«, erwiderte Stepan Arkadjewitsch lachend.
Вот ты женился, ты знаешь это чувство...	¿Lo crees posible?	Levin sighed and did not answer.	— Tu hai ragione, sono un selvaggio.	»Ich kann das nicht vertragen«, antwortete Ljewin.
Ужасно то, что мы -- старые, уже с прошедшим...	–Lo creo.	He was thinking of his own affairs and not listening to Oblonsky.	Ma questa mia selvatichezza non consiste nel fatto che me ne sono andato, ma che son venuto.	»Versuche doch einmal, dich in meine Seele hineinzuversetzen; stelle dich auf den Standpunkt eines Mannes vom Lande!
не любви, а грехов...	¿Por qué no?	And suddenly both felt that though they were friends, and had dined and drunk wine together which should have drawn them yet closer, yet each was thinking only of his own affairs and was not concerned with the other.	Ora io son venuto...	Wir auf dem Lande geben uns Mühe, unsere Hände in eine solche Verfassung zu bringen, daß sich bequem mit ihnen arbeiten läßt.
вдруг сближаемся с существом чистым, невинным; это отвратительно, и поэтому нельзя не чувствовать себя недостойным.	–	Oblonsky had more than once experienced this kind of acute estrangement instead of union following a dinner with a friend, and knew what to do in such a case.	— Oh che uomo felice!	Darum schneiden wir unsere Nägel kurz und streifen uns manchmal die Ärmel auf.
-- Ну, у тебя грехов немного.	¿Supones sinceramente que es posible?	'The bill!' he shouted and went out into the dining-hall, where he immediately saw an aide-de-camp of his acquaintance, and entered into conversation with him about an actress and her protector.	— esclamò Stepan Arkad’ic guardando Levin negli occhi.	Aber hier lassen die Leute absichtlich ihre Nägel so lang wachsen, wie es nur irgend möglich ist, und befestigen an den Handwurzeln, angeblich als Hemdknöpfe, kleine Schüsseln, um nur ja nicht imstande zu sein, mit den Händen etwas vorzunehmen.«
"-- Ах, все-таки, -- сказал Левин, -- все-таки, ""с отвращением читая жизнь мою, я трепещу и проклинаю, и горько жалуюсь..."	Dime todo lo que piensas.	And immediately in conversation with the aide-de-camp Oblonsky felt relief and rest after the talk with Levin, who always demanded of him too great a mental and spiritual strain.	—	Stepan Arkadjewitsch lächelte vergnügt.
""" Да."	¿No me espera una negativa?	When the Tartar returned with a bill for twenty-six roubles odd, Levin quite unconcernedly paid his share which with the tip came to fourteen roubles, a sum that usually would have horrified his rustic conscience, and went home to dress and go on to the Shcherbatskys' where his fate was to be decided.	E perché?	»Das soll eben eine Andeutung sein, daß er keine grobe Arbeit zu verrichten braucht.
-- Что ж делать, так мир устроен, -- сказал Степан Аркадьич.	Casi estoy seguro...	CHAPTER XII	— «Conosco i cavalli ardenti da certi loro segni;	Er arbeitet mit dem Kopfe.«
--	–¿Por qué piensas así? –dijo Esteban Arkadievich, observando la emoción de Levin.	PRINCESS KITTY SHCHERBATSKAYA WAS EIGHTEEN, and this was her first season.	conosco i giovani innamorati dagli occhi» — declamò Stepan Arkad’ic.	»Mag sein.
Одно утешение, как в этой молитве, которую я всегда любил, что не по заслугам прости меня, а по милосердию.	–A veces lo creo, y esto fuera terrible para mí y para ella.	Her success in Society was greater than that of her two elder sisters, and greater even than her mother had expected.	— Tu hai tutto l’avvenire davanti a te.	Aber fremdartig bleibt es mir dennoch, ebenso wie es mir jetzt seltsam vorkommt, daß, während wir auf dem Lande uns möglichst schnell satt zu essen suchen, um wieder an unsere Arbeit gehen zu können, wir beide hier es darauf anlegen, möglichst lange zu essen, ohne satt zu werden, und zu diesem Zwecke Austern essen.«
