ALICE'S ADVENTURES IN WONDERLAND	Alicia en el país de las maravillas	ALICE NEL PAESE DELLE MERAVIGLIE	Alice no País das Maravilhas	Alice au pays des merveilles	Alice’s Abenteuer im Wunderland
'Why should it?' muttered the Hatter.	Era una idea tan nueva para Alicia, que quedó muda durante uno o dos minutos, lo que dio oportunidad a la Paloma de añadir: --¡Estás buscando huevos!	ma non potè veder nulla che le sembrasse adatto a mangiare o a bere per l'occasione.	'E logo quando peguei a árvore mais alta no bosque,' continuou a Pomba, elevando a voz a um grito estridente, 'e logo quando eu estava pensando que ficaria livre delas finalmente, elas teimam em descer se retorcendo do céu!	Alice étendit le bras de nouveau comme pour agripper quelque chose ;	»Wie groß möchtest du gern sein?« fragte sie.
'Does your watch tell you what year it is?'	¡	C'era però un grosso fungo vicino a lei, press'a poco alto quanto lei;	Ugh, Serpente!	cette fois il y eut deux petits cris et encore un bruit de vitres cassées.	»Oh, es kommt nicht so genau darauf an,« erwiderte Alice schnell;
'Of course not,' Alice replied very readily: 'but that's because it stays the same year for such a long time together.'	Si lo sabré yo!	e dopo che l'ebbe esaminato di sotto, ai lati e di dietro, le parve cosa naturale di vedere che ci fosse di sopra.	'	« Que de châssis il doit y avoir là !	»nur das viele Wechseln ist nicht angenehm, nicht wahr?«
'Which is just the case with mine,' said the Hatter.	¡Y qué más me da a mí que seas una niña o una serpiente?	Alzandosi in punta dei piedi, si affacciò all'orlo del fungo, e gli occhi suoi s'incontrarono con quelli d'un grosso Bruco turchino che se ne stava seduto nel centro con le braccia conserte, fumando tranquillamente una lunga pipa, e non facendo la minima attenzione ne a lei, nè ad altro.	'Mas eu não sou uma serpente, eu lhe digo!	» pensa Alice.	»Nein, es ist nicht wahr!« sagte die Raupe.
Alice felt dreadfully puzzled.	--¡Pues a mí sí me da! --se apresuró a declarar Alicia--.	V CONSIGLI DEL BRUCO	' disse Alice.	« Je me demande ce qu’ils vont faire à présent.	Alice antwortete nichts;
The Hatter's remark seemed to have no sort of meaning in it, and yet it was certainly English.	Y además da la casualidad de que no estoy buscando huevos.	Il Bruco e Alice si guardarono a vicenda per qualche tempo in silenzio;	'Eu sou uma -- Eu sou uma --'	Quant à me retirer par la fenêtre, je le souhaite de tout mon cœur, car je n’ai pas la moindre envie de rester ici plus longtemps !	es war ihr im Leben nicht so viel widersprochen worden, und sie fühlte, daß sie wieder anfing, empfindlich zu werden.
'I don't quite understand you,' she said, as politely as she could.	Y aunque estuviera buscando huevos, no querría los tuyos: no me gustan crudos.	finalmente il Bruco staccò la pipa di bocca, e le parlò con voce languida e sonnacchiosa:	'Bem!	»	»Bist du jetzt zufrieden?« sagte die Raupe.
'The Dormouse is asleep again,' said the Hatter, and he poured a little hot tea upon its nose.	--Bueno, pues entonces, lárgate --gruño la Paloma, mientras se volvía a colocar en el nido.	Chi sei?	O que você é?	Il se fit quelques instants de silence.	»Etwas größer, Frau Raupe, wäre ich gern, wenn ich bitten darf,« sagte Alice;
The Dormouse shook its head impatiently, and said, without opening its eyes, 'Of course, of course; just what I was going to remark myself.'	Alicia se sumergió trabajosamente entre los árboles.	— disse il Bruco.	' disse a Pomba.	À la fin, Alice entendit un bruit de petites roues, puis le son d’un grand nombre de voix ;	»drei und einen halben Zoll ist gar zu winzig.«
'Have you guessed the riddle yet?' the Hatter said, turning to Alice again.	El cuello se le enredaba entre las ramas y tenía que pararse a cada momento para liberarlo.	Non era un bel principio di conversazione.	'Vejo que você está tentando inventar algo!	elle distingua ces mots : « Où est l’autre échelle ?	»Es ist eine sehr angenehme Größe, finde ich,« sagte die Raupe zornig und richtete sich dabei in die Höhe (sie war gerade drei Zoll hoch).
'No, I give it up,' Alice replied: 'what's the answer?'	Al cabo de un rato, recordó que todavía tenía los pedazos de seta, y puso cuidadosamente manos a la obra, mordisqueando primero uno y luego el otro, y creciendo unas veces y decreciendo otras, hasta que consiguió recuperar su estatura normal.	Alice rispose con qualche timidezza:	'	— Je n’avais point qu’à en apporter une ;	»Aber ich bin nicht daran gewöhnt!«
'I haven't the slightest idea,' said the Hatter.	Hacía tanto tiempo que no había tenido un tamaño ni siquiera aproximado al suyo, que al principio se le hizo un poco extraño.	— Davvero non te lo saprei dire ora.	'Eu -- Eu sou uma garotinha,' disse Alice, de forma um tanto duvidosa, visto que ela lembrava o número de mudanças que atravessara naquele dia.	c’est Jacques qui a l’autre.	verteidigte sich die arme Alice in weinerlichem Tone.
'Nor I,' said the March Hare.	Pero no le costó mucho acostumbrarse y empezó a hablar consigo misma como solía.	So dirti chi fossi, quando mi son levata questa mattina, ma d'allora credo di essere stata cambiata parecchie volte.	'Uma história muito provável de fato!' disse a Pomba em tom do mais profundo desprezo.	— Allons, Jacques, apporte ici, mon garçon !	Bei sich dachte sie: »Ich wünschte, alle diese Geschöpfe nähmen nicht
Alice sighed wearily.	--¡Vaya, he realizado la mitad de mi plan!	— Che cosa mi vai contando?	'Eu já vi muitas garotinhas no meu tempo, mas nunca uma com um pescoço tão longo como esse!	— Dressez-les là au coin.	Alles gleich übel.«
'I think you might do something better with the time,' she said, 'than waste it in asking riddles that have no answers.'	¡Qué desconcertantes son estos cambios!	— disse austeramente il Bruco.	Não, não!	— Non, attachez-les d’abord l’une au bout de l’autre.	»Du wirst es mit der Zeit gewohnt werden,« sagte die Raupe, steckte ihre Huhka in den Mund und fing wieder an zu rauchen.
'If you knew Time as well as I do,' said the Hatter, 'you wouldn't talk about wasting it.	¡No puede estar una segura de lo que va a ser al minuto siguiente!	— Spiegati meglio.	Você é uma serpente; e é inútil negá-lo.	— Elles ne vont pas encore moitié assez haut.	Diesmal wartete Alice geduldig, bis es ihr gefällig wäre zu reden.
It's him.'	Lo cierto es que he recobrado mi estatura normal.	— Temo di non potermi spiegare, — disse Alice, — perchè non sono più quella di prima, come vedi.	Suponho que em seguida você me contará que nunca provou um ovo!'	— Ça fera l’affaire ;	Nach zwei oder drei Minuten nahm die Raupe die Huhka aus dem Munde, gähnte ein bis zwei Mal und schüttelte sich.
'I don't know what you mean,' said Alice.	El próximo objetivo es entrar en aquel precioso jardín...	— Io non vedo nulla, — rispose il Bruco.	'Eu provei ovos, certamente,' disse Alice, que era uma criança muito sincera; 'mas garotinhas comem ovos quase tanto quanto serpentes, sabe.	ne soyez pas si difficile.	Dann kam sie von dem Pilze herunter, kroch in's Gras hinein und bemerkte bloß bei'm Weggehen: »Die eine Seite macht dich größer, die andere Seite macht dich kleiner.«
'Of course you don't!' the Hatter said, tossing his head contemptuously.	Me pregunto cómo me las arreglaré para lograrlo.	— Temo di non potermi spiegare più chiaramente, — soggiunse Alice in maniera assai gentile, — perchè dopo esser stata cambiata di statura tante volte in un giorno, non capisco più nulla.	'	— Tiens, Jacques, attrape ce bout de corde.	»Eine Seite wovon? die andere Seite wovon?«
'I dare say you never even spoke to Time!'	Mientras decía estas palabras, llegó a un claro del bosque, donde se alzaba una casita de poco más de un metro de altura.	— Non è vero!	'Eu não acredito,' disse a Pomba; 'mas se elas comem, bem, então elas são um tipo de serpente, é tudo que posso dizer.	— Le toit portera-t-il bien ?	dachte
'Perhaps not,' Alice cautiously replied: 'but I know I have to beat time when I learn music.'	--Sea quien sea el que viva allí --pensó Alicia--	— disse il Bruco.	'	— Attention à cette tuile qui ne tient pas.	Alice
'Ah! that accounts for it,' said the Hatter.	,	— Bene, non l'hai sperimentato ancora, — disse Alice, — ma quando ti trasformerai in crisalide, come ti accadrà un giorno, e poi diventerai farfalla, certo ti sembrerà un po'strano, — non è vero?	Esta era uma idéia tão nova para Alice, que ela ficou totalmente silenciosa por um minuto ou dois, o que deu a Pomba a oportunidade de acrescentar, 'Você está procurando por ovos, eu sei disso muito bem;	— Bon !	bei sich
'He won't stand beating.	no puedo presentarme con este tamaño.	— Niente affatto, — rispose il Bruco.	e o que me importa se você é uma garotinha ou uma serpente?	la voilà qui dégringole.	»Von dem Pilz,« sagte die Raupe, gerade als wenn sie laut gefragt hätte;
Now, if you only kept on good terms with him, he'd do almost anything you liked with the clock.	¡Se morirían del susto!	— Bene, tu la pensi diversamente, — replicò Alice;	'	Gare les têtes !	und den nächsten Augenblick war sie nicht mehr zu sehen.
For instance, suppose it were nine o'clock in the morning, just time to begin lessons: you'd only have to whisper a hint to Time, and round goes the clock in a twinkling!	Así pues, empezó a mordisquear una vez más el pedacito de la mano derecha, Y no se atrevió a acercarse a la casita hasta haber reducido su propio tamaño a unos veinte centímetros.	— ma a me parrebbe molto strano.	'Importa muito para mim,' disse Alice depressa; 'mas eu não estou procurando por ovos, no momento;	»	Alice blieb ein Weilchen gedankenvoll vor dem Pilze stehen, um ausfindig zu machen, welches seine beiden Seiten seien; und da er vollkommen rund war, so fand sie die Frage schwierig zu beantworten.
Half-past one, time for dinner!'	Capítulo 6 CERDO Y PIMIENTA	— A te! — disse il Bruco con disprezzo.	e se estivesse, eu não quereria os seus:	(Il se fit un grand fracas.	Zuletzt aber reichte sie mit beiden Armen, soweit sie herum konnte, und brach mit jeder Hand etwas vom Rande ab.
('I only wish it was,' the March Hare said to itself in a whisper.)	Alicia se quedó mirando la casa uno o dos minutos, y preguntándose lo que iba a hacer, cuando de repente salió corriendo del bosque un lacayo con librea (a Alicia le pareció un lacayo porque iba con librea; de no ser así, y juzgando sólo por su cara, habría dicho que era un pez) y golpeó enérgicamente la puerta con los nudillos.	—	eu não gosto deles crus.	)	»Nun aber, welches ist das rechte
'That would be grand, certainly,' said Alice thoughtfully: 'but then--I shouldn't be hungry for it, you know.'	Abrió la puerta otro lacayo de librea, con una cara redonda y grandes ojos de rana.	Chi sei tu?	'	« Qui a fait cela ?	?« sprach sie zu sich, und biß ein wenig von dem Stück in ihrer rechten Hand ab, um die Wirkung auszuprobieren;
'Not at first, perhaps,' said the Hatter: 'but you could keep it to half-past one as long as you liked.'	Y los dos lacayos, observó Alicia, llevaban el pelo empolvado y rizado.	E questo li ricondusse di nuovo al principio della conversazione.	'Bem, afaste-se, então!	— Je crois bien que c’est Jacques.	den nächsten Augenblick fühlte sie einen heftigen Schmerz am Kinn, es hatte an ihren Fuß angestoßen!
'Is that the way you manage?' Alice asked.	Le entró una gran curiosidad por saber lo que estaba pasando y salió cautelosamente del bosque para oír lo que decían.	Alice si sentiva un po' irritata dalle brusche osservazioni del Bruco e se ne stette sulle sue, dicendo con gravità:	' disse a Pomba em tom emburrado, enquanto se instalava de novo no seu ninho.	— Qui est-ce qui va descendre par la cheminée ?	Über diese plötzliche Verwandlung war sie sehr erschrocken, aber da war keine Zeit zu verlieren, da sie sehr schnell kleiner wurde;
The Hatter shook his head mournfully.	El lacayo-pez empezó por sacarse de debajo del brazo una gran carta, casi tan grande como él, y se la entregó al otro lacayo, mientras decía en tono solemne: --Para la Duquesa.	— Perchè non cominci tu a dirmi chi sei?	Alice agachou-se entre as árvores o melhor que pode, pois o pescoço dela continuou se enredando entre os galhos, e aqui e ali ela tinha que parar e desenredá-lo.	— Pas moi, bien sûr !	sie machte sich also gleich daran, etwas von dem andern Stück zu essen.
'Not I!' he replied.	Una invitación de la Reina para jugar al croquet.	— Perchè?	Depois de um tempo ela se lembrou que ainda segurava os pedaços do cogumelo nas mãos, e ela pôs mãos à obra muito cuidadosamente, beliscando primeiro um e depois o outro, e às vezes crescendo e às vezes encolhendo, até que ela conseguiu reduzir-se à altura usual.	Allez-y, vous.	Ihr Kinn war so dicht an ihren Fuß gedrückt, daß ihr kaum Platz genug blieb, den Mund aufzumachen;
'We quarrelled last March--just before he went mad, you know--' (pointing with his tea spoon at the March Hare,) '--it was at the great concert given by the Queen of Hearts, and I had to sing	El lacayo-rana lo repitió, en el mismo tono solemne, pero cambiando un poco el orden de las palabras: --De la Reina.	— disse il Bruco.	Fazia tanto tempo desde que ela tinha tido qualquer coisa perto do tamanho certo, que pareceu bastante estranho a princípio;	— Non pas, vraiment.	endlich aber gelang es ihr, ein wenig von dem Stück in ihrer linken Hand herunter zu schlucken.
